username,date,weekday,meal_type,planned_recipe,actual_recipe,status,planned_calories,planned_protein_g,planned_carbs_g,planned_fat_g,calories,protein_g,carbs_g,fat_g,source,forecasted_at,confirmation_requested_at,updated_at
test_3,2026-07-16,thursday,afternoon_snack,Apple and Ricotta Snack,Apple and Ricotta Snack,confirmed,244,14,28,17,244,14,28,17,user,bdi,requested,bdi
test_3,2026-07-16,thursday,breakfast,"Oat Porridge with Banana, Almonds and Ricotta",,forecasted,450,16,54,15,450,16,54,15,plan,bdi,,bdi
test_3,2026-07-16,thursday,dinner,Whole-wheat pasta with ricotta and zucchini,Whole-wheat pasta with ricotta and zucchini,confirmed,507,30,58,17,507,30,58,17,user,bdi,requested,bdi
test_3,2026-07-16,thursday,lunch,Warm lentils with ricotta and sautéed squash,,forecasted,504,29,63,17,504,29,63,17,plan,bdi,,bdi
test_3,2026-07-16,thursday,morning_snack,Apple with Ricotta and Cashews,,forecasted,163,9,22,8,163,9,22,8,plan,bdi,,bdi
test_3,2026-07-17,friday,afternoon_snack,Rice Cakes with Ricotta and Pear,,forecasted,163,6,24,5,163,6,24,5,plan,bdi,requested,bdi
test_3,2026-07-17,friday,breakfast,Oat Porridge with Banana and Ricotta,,forecasted,454,17,59,12,454,17,59,12,plan,bdi,requested,bdi
test_3,2026-07-17,friday,dinner,Grilled Vegetables with Ricotta and Wholemeal Bread,,forecasted,505,19,62,18,505,19,62,18,plan,bdi,requested,bdi
test_3,2026-07-17,friday,lunch,Soft cheese omelette with boiled potatoes and salad,,forecasted,501,32,35,25,501,32,35,25,plan,bdi,requested,bdi
test_3,2026-07-17,friday,morning_snack,"Apple, Ricotta and Hazelnut Crispbreads",,forecasted,160,7,22,5,160,7,22,5,plan,bdi,requested,bdi
test_3,2026-07-18,saturday,afternoon_snack,Crispbread with Ricotta and Apple,,forecasted,160,7,22,5,160,7,22,5,plan,bdi,requested,bdi
test_3,2026-07-18,saturday,breakfast,"Oat bowl with ricotta, banana and walnuts",,forecasted,458,18,55,18,458,18,55,18,plan,bdi,requested,bdi
test_3,2026-07-18,saturday,dinner,Ricotta and Tomato Salad with Wholemeal Bread,,forecasted,499,18,61,19,499,18,61,19,plan,bdi,requested,bdi
test_3,2026-07-18,saturday,lunch,Soft cheese omelette with boiled potatoes and salad,,forecasted,498,20,61,19,498,20,61,19,plan,bdi,requested,bdi
test_3,2026-07-18,saturday,morning_snack,Pear and Ricotta Nut Snack,,forecasted,163,7,20,9,163,7,20,9,plan,bdi,requested,bdi
test_3,2026-07-19,sunday,afternoon_snack,Wholegrain Crispbread with Ricotta and Apple,,forecasted,162,7,22,5,162,7,22,5,plan,bdi,requested,bdi
test_3,2026-07-19,sunday,breakfast,"Oat bowl with ricotta, banana and walnuts",,forecasted,455,19,53,18,455,19,53,18,plan,bdi,requested,bdi
test_3,2026-07-19,sunday,dinner,"Whole-wheat pasta with ricotta and tomato, with sautéed courgette",,forecasted,500,21,62,17,500,21,62,17,plan,bdi,requested,bdi
test_3,2026-07-19,sunday,lunch,"Lentils in tomato sauce with ricotta, whole-wheat bread and salad",,forecasted,505,29,63,18,505,29,63,18,plan,bdi,requested,bdi
test_3,2026-07-19,sunday,morning_snack,Ricotta Pear Crispbreads,,forecasted,160,7,21,6,160,7,21,6,plan,bdi,requested,bdi
test_3,2026-07-20,monday,afternoon_snack,Apple and Ricotta Snack,,forecasted,163,6,23,6,163,6,23,6,plan,bdi,requested,bdi
test_3,2026-07-20,monday,breakfast,"Oat Bowl with Ricotta, Banana and Mixed Seeds",,forecasted,452,17,54,16,452,17,54,16,plan,bdi,requested,bdi
test_3,2026-07-20,monday,dinner,Whole-wheat pasta with ricotta and courgette,,forecasted,505,19,63,18,505,19,63,18,plan,bdi,requested,bdi
test_3,2026-07-20,monday,lunch,Lupin and Ricotta Salad with Mixed-Grain Bread,,forecasted,501,38,53,22,501,38,53,22,plan,bdi,requested,bdi
test_3,2026-07-20,monday,morning_snack,Apple and Ricotta Snack,,forecasted,161,8,22,6,161,8,22,6,plan,bdi,requested,bdi
test_3,2026-07-21,tuesday,afternoon_snack,Wholegrain crispbread with ricotta and apple,,forecasted,158,7,22,5,158,7,22,5,plan,bdi,requested,bdi
test_3,2026-07-21,tuesday,breakfast,Apple Banana Yogurt Bowl with Whole-Wheat Biscuits and Almonds,,forecasted,450,15,54,14,450,15,54,14,plan,bdi,requested,bdi
test_3,2026-07-21,tuesday,dinner,"Whole-wheat pasta with ricotta and courgette, side salad",,forecasted,505,20,57,21,505,20,57,21,plan,bdi,requested,bdi
test_3,2026-07-21,tuesday,lunch,Lupin and ricotta salad with mixed-grain bread,,forecasted,510,47,61,18,510,47,61,18,plan,bdi,requested,bdi
test_3,2026-07-21,tuesday,morning_snack,Apple and Ricotta Snack,,forecasted,162,7,21,7,162,7,21,7,plan,bdi,requested,bdi
test_3,2026-07-22,wednesday,afternoon_snack,Rice Cakes with Ricotta and Apple,,forecasted,163,7,24,6,163,7,24,6,plan,bdi,,bdi
test_3,2026-07-22,wednesday,breakfast,"Whole-wheat biscuits with ricotta, banana and apple",,forecasted,445,16,56,12,445,16,56,12,plan,bdi,,bdi
test_3,2026-07-22,wednesday,dinner,Whole-wheat pasta with ricotta and courgette,,forecasted,500,24,64,23,500,24,64,23,plan,bdi,,bdi
test_3,2026-07-22,wednesday,lunch,Warm lentil and ricotta pasta salad,,forecasted,498,24,64,17,498,24,64,17,plan,bdi,,bdi
test_3,2026-07-22,wednesday,morning_snack,Apple with ricotta and almonds,,forecasted,161,7,22,10,161,7,22,10,plan,bdi,,bdi
